pl_name,hostname,ra,dec,discoverymethod,disc_facility,disc_year,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,pl_dens,pl_eqt,pl_trandep,pl_trandur,pl_orbincl,st_teff,st_rad,st_mass,st_met,st_logg,st_lum,st_spectype
"Kepler-267 d","Kepler-267",299.8305655,47.1575741,"Transit","Kepler",2014,2.27000000,5.77000000,28.46451500000,0.1540000000,0.000000,2.710000,301.00,0.16298000,2.7420000,89.98000,4258.00,0.555000,0.541571,-0.1800,4.729000,-1.22915,"M1 V"
"Kepler-27 c","Kepler-27",292.2367608,41.0858710,"Transit","Kepler",2011,4.90000000,4385.87000000,31.33090000000,0.1910000000,0.000000,,481.00,0.50738000,4.7500000,88.62000,5400.00,0.590000,0.650000,0.4100,5.400000,-0.32941,
"Kepler-272 b","Kepler-272",299.1275257,47.5938319,"Transit","Kepler",2014,1.43000000,78.00000000,2.97135300000,0.0380000000,0.000000,147.000000,1200.00,0.02333000,2.6480000,87.49000,5297.00,0.929000,0.910000,0.0400,4.426000,0.06634,
"Kepler-273 b","Kepler-273",291.3021458,47.6976573,"Transit","Kepler",2014,1.50000000,2.86000000,2.93653200000,0.0370000000,0.000000,4.660000,1209.00,0.03523000,1.7040000,87.29000,5626.00,0.815000,0.756000,-0.2800,4.514000,-0.34099,
"Kepler-273 c","Kepler-273",291.3021458,47.6976573,"Transit","Kepler",2014,1.98000000,4.58000000,8.01492700000,0.0730000000,0.000000,3.240000,865.00,0.03630000,3.3790000,87.69000,5626.00,0.815000,0.756000,-0.2800,4.514000,-0.34099,
"Kepler-274 b","Kepler-274",292.9227926,38.4772173,"Transit","Kepler",2014,1.54000000,2.99000000,11.63478800000,0.1010000000,0.000000,4.500000,961.00,0.02923000,5.5410000,89.82000,6023.00,1.007000,0.883000,-0.2112,4.440000,0.20130,
"Kepler-275 b","Kepler-275",292.4797004,38.5149018,"Transit","Kepler",2014,2.34000000,6.08000000,10.30068200000,0.0980000000,0.000000,2.610000,1015.00,0.02718000,4.9670000,89.99000,6165.00,1.383000,1.189000,0.0800,4.229000,0.44934,
"Kepler-276 d","Kepler-276",293.5681970,39.0363123,"Transit","Kepler",2013,2.80000000,16.30000000,48.64800000000,0.2466600000,0.000000,0.760000,489.00,0.06211000,4.5630000,87.42000,5693.00,1.030000,1.100000,-0.2900,4.460000,-0.08948,
"Kepler-278 c","Kepler-278",290.1072124,38.7022694,"Transit","Kepler",2014,3.26800000,34.90000000,51.11100000000,0.2870000000,0.616000,5.500000,492.00,0.01415000,11.2330000,88.58000,4965.00,2.861000,1.227000,0.2200,3.580000,0.64933,"K2 III-IV"
"Kepler-279 b","Kepler-279",287.3912950,42.1948220,"Transit","Kepler",2014,3.62000000,4180.93000000,12.30968100000,0.1120000000,0.000000,165.000000,1104.00,0.03791000,5.8680000,83.92000,6363.00,1.746000,1.200000,-0.1141,4.051000,0.51880,
"Kepler-279 c","Kepler-279",287.3912950,42.1948220,"Transit","Kepler",2013,4.30000000,49.40000000,35.73600000000,0.2236000000,0.000000,0.300000,774.00,0.07915000,8.9950000,87.09000,6689.45,1.070000,1.100000,-0.1141,4.420000,0.51880,
"Kepler-28 b","Kepler-28",292.1370409,42.4294835,"Transit","Kepler",2011,1.95900000,1.63000000,5.91000000000,0.0568700000,0.000000,1.185427,585.00,0.10629000,2.3254000,89.51000,4499.30,0.664000,0.684000,0.1451,4.620000,-0.74494,"M0 V"
"Kepler-280 c","Kepler-280",291.3905325,42.1804735,"Transit","Kepler",2014,2.01000000,4.70000000,4.80709100000,0.0560000000,0.000000,3.180000,1088.00,0.04505000,0.9010000,86.65000,5744.00,0.886000,0.962000,0.1213,4.537000,-0.06437,
"Kepler-281 c","Kepler-281",294.1081465,44.7706524,"Transit","Kepler",2014,5.31000000,161.12400000,36.33737300000,0.2150000000,0.000000,0.005100,513.00,0.28284000,6.8090000,88.17000,5723.00,0.899000,0.950000,0.0200,4.531000,0.14638,
"Kepler-281 d","Kepler-281",294.1081465,44.7706524,"Transit","Kepler",2021,5.93747806,654.00000000,148.27200320000,0.5456000000,0.000000,12.300000,321.00,0.17074000,4.1920000,89.66000,5717.00,0.884000,0.984000,0.0000,4.538000,0.14638,
"Kepler-282 b","Kepler-282",284.6772402,44.7976401,"Transit","Kepler",2014,1.01000000,1.01000000,9.22052400000,0.0820000000,0.000000,5.390000,817.00,0.01400000,4.8470000,89.85000,5602.00,0.904000,0.860000,-0.2000,4.459000,0.10587,
"Kepler-283 b","Kepler-283",293.6137413,47.8389380,"Transit","Kepler",2014,2.13000000,5.18000000,11.00815100000,0.0820000000,0.000000,2.950000,488.00,0.14625000,2.0870000,89.97000,4351.00,0.566000,0.596000,-0.1700,4.721000,-0.98297,
