kepoi_name,kepler_name,koi_disposition,koi_pdisposition,ra,dec,koi_period,koi_prad,koi_depth,koi_duration,koi_teq,koi_insol,koi_steff,koi_srad,koi_smass,koi_slogg,koi_impact,koi_eccen,koi_model_snr,koi_score
"K00742.01",,"FALSE POSITIVE","FALSE POSITIVE",297.079930,47.597401,11.521446064,150.51,17984.3,3.6399,753.0,75.88,5795.00,0.8480,0.9380,4.554,2.483,0,622.10,0.0000
"K00743.01",,"FALSE POSITIVE","FALSE POSITIVE",289.258210,47.635319,19.40393776,7.18,8918.7,12.2155,523.0,17.69,5043.00,0.6800,0.6570,4.591,0.804,0,214.70,0.0000
"K00744.01",,"FALSE POSITIVE","FALSE POSITIVE",295.814540,47.690350,19.221388942,49.29,74284,4.79843,698.0,55.97,6117.00,0.9470,1.0250,4.496,1.065,0,2317.00,0.0000
"K00745.01",,"FALSE POSITIVE","FALSE POSITIVE",297.154420,47.668701,16.46983774,7.94,10478.9,9.4378,595.0,29.61,5152.00,0.7860,0.7410,4.517,0.292,0,303.40,0.0000
"K00746.01","Kepler-660 b","CONFIRMED","CANDIDATE",288.138240,47.724449,9.27358173,2.47,1288.3,3.2875,649.0,41.85,4856.00,0.6960,0.6760,4.583,0.387,0,87.20,1.0000
"K00747.01","Kepler-661 b","CONFIRMED","CANDIDATE",283.710880,47.863270,6.02930329,2.85,1912.7,1.5821,678.0,50.04,4537.00,0.6720,0.7610,4.648,0.258,0,65.40,1.0000
"K00748.01",,"FALSE POSITIVE","FALSE POSITIVE",283.765470,47.804298,2.696370652,1.58,397.9,3.6129,1066.0,305.34,4989.00,0.8190,0.7810,4.504,0.044,0,48.20,0.0000
"K00749.01","Kepler-226 c","CONFIRMED","CANDIDATE",292.376130,47.880989,5.349553819,2.55,831,3.0278,919.0,168.99,5185.00,0.9100,0.8310,4.440,0.092,0,60.60,1.0000
"K00749.02","Kepler-226 b","CONFIRMED","CANDIDATE",292.376130,47.880989,3.94105221,1.7,363.3,2.5984,1018.0,253.15,5185.00,0.9100,0.8310,4.440,0.226,0,28.90,0.9800
"K00749.03","Kepler-226 d","CONFIRMED","CANDIDATE",292.376130,47.880989,8.10904807,1.3,217.4,3.596,800.0,97.03,5185.00,0.9100,0.8310,4.440,0.025,0,14.10,0.9710
"K00750.01","Kepler-662 b","CONFIRMED","CANDIDATE",290.465120,47.929180,21.67699193,2.95,857.2,3.4555,530.0,18.64,4954.00,0.8280,0.7910,4.500,0.896,0,34.30,1.0000
"K00751.01","Kepler-663 b","CONFIRMED","CANDIDATE",297.808260,47.946671,4.99677968,2.78,934.7,2.1717,917.0,166.95,5339.00,0.8470,0.9310,4.552,0.71,0,28.20,1.0000
"K00752.01","Kepler-227 b","CONFIRMED","CANDIDATE",291.934230,48.141651,9.48803557,2.26,615.8,2.9575,793.0,93.59,5455.00,0.9270,0.9190,4.467,0.146,0,35.80,1.0000
"K00752.02","Kepler-227 c","CONFIRMED","CANDIDATE",291.934230,48.141651,54.4183827,2.83,874.8,4.507,443.0,9.11,5455.00,0.9270,0.9190,4.467,0.586,0,25.80,0.9690
"K00753.01",,"CANDIDATE","CANDIDATE",297.004820,48.134129,19.89913995,14.6,10829,1.7822,638.0,39.30,5853.00,0.8680,0.9610,4.544,0.969,0,76.30,0.0000
"K00754.01",,"FALSE POSITIVE","FALSE POSITIVE",285.534610,48.285210,1.736952453,33.46,8079.2,2.40641,1395.0,891.96,5805.00,0.7910,0.8360,4.564,1.276,0,505.60,0.0000
"K00755.01","Kepler-664 b","CONFIRMED","CANDIDATE",288.754880,48.226200,2.525591777,2.75,603.3,1.6545,1406.0,926.16,6031.00,1.0460,1.0950,4.438,0.701,0,40.90,1.0000
"K00756.01","Kepler-228 d","CONFIRMED","CANDIDATE",296.286130,48.224670,11.09432054,3.9,1517.5,4.5945,835.0,114.81,6046.00,0.9720,1.0530,4.486,0.538,0,66.50,1.0000
"K00756.02","Kepler-228 c","CONFIRMED","CANDIDATE",296.286130,48.224670,4.13443512,2.77,686,3.1402,1160.0,427.65,6046.00,0.9720,1.0530,4.486,0.762,0,40.20,1.0000
"K00756.03","Kepler-228 b","CONFIRMED","CANDIDATE",296.286130,48.224670,2.56658897,1.59,226.5,2.429,1360.0,807.74,6046.00,0.9720,1.0530,4.486,0.755,0,15.00,0.9920
"K00757.01","Kepler-229 c","CONFIRMED","CANDIDATE",286.999480,48.375790,16.06864674,5.76,4914.3,3.5347,600.0,30.75,5031.00,0.8480,0.8010,4.485,0.052,0,161.90,1.0000
"K00757.02","Kepler-229 d","CONFIRMED","CANDIDATE",286.999480,48.375790,41.19725502,3.86,2213.9,4.6297,439.0,8.76,5031.00,0.8480,0.8010,4.485,0.045,0,51.20,0.9920
"K00757.03","Kepler-229 b","CONFIRMED","CANDIDATE",286.999480,48.375790,6.252962249,2.65,1036.9,2.5819,823.0,108.30,5031.00,0.8480,0.8010,4.485,0.105,0,47.10,1.0000
"K00758.01","Kepler-665 b","CONFIRMED","CANDIDATE",297.025630,48.478588,16.01308419,3.1,1121.9,3.2554,593.0,29.31,5015.00,0.8260,0.7850,4.499,0.799,0,33.20,1.0000
"K00759.01","Kepler-230 b","CONFIRMED","CANDIDATE",285.718540,48.505859,32.62876672,3.36,1804.8,4.7971,506.0,15.55,5586.00,0.7980,0.8440,4.560,0.021,0,80.00,1.0000
"K00759.02","Kepler-230 c","CONFIRMED","CANDIDATE",285.718540,48.505859,91.7732862,2.12,652,6.473,359.0,3.92,5586.00,0.7980,0.8440,4.560,0.606,0,19.10,0.9780
"K00760.01","Kepler-1976 b","CONFIRMED","CANDIDATE",292.167050,48.727589,4.959319244,12.21,9802,2.22739,1103.0,349.40,5712.00,1.0820,0.9760,4.359,0.831,0,696.50,1.0000
